Product_number,Product_name,Colour,Brand,Depth,Width,Height,Weight,Price,Warranty_period,Category,Description,Availability,Stock
63,Goodyear Car Battery,Red,Goodyear,38.14,42.49,45.45,1.44,41.04,4,Automotive,Stylish and affordable,1,309
64,HP Headphones,Red,HP,40.1,13.19,16.86,0.42,190.17,3,Electronics,Stylish and affordable,1,280
65,Estée Lauder Facial Cleanser,Red,Estée Lauder,12.28,27.17,15.96,0.36,156.97,1,Cosmetic,Essential for modern lifestyle,1,452
66,Adidas Exercise Bike,Blue,Adidas,49.94,45.85,46.94,4.51,484.46,3,Sports,Compact and lightweight design,1,499
67,IKEA Desk Chair,Green,IKEA,24.06,32.47,21.66,3.44,591.33,4,Furniture,Provides excellent comfort and support,1,192
68,Clinique Facial Cleanser,Silver,Clinique,5.84,48.77,35.0,1.24,36.58,5,Cosmetic,Stylish and affordable,1,418
69,Mattel Building Blocks,Black,Mattel,36.36,45.58,21.21,3.42,68.48,3,Toys,Ideal for home and office use,1,140
70,HarperCollins Biography,Green,HarperCollins,47.28,33.35,32.51,3.42,38.09,2,Books,Advanced technology integration,1,223
71,Mattel Dollhouse,Green,Mattel,20.14,5.67,28.19,2.3,745.95,2,Toys,Perfect for outdoor activities,1,491
72,Kroger Almond Milk,Black,Kroger,27.44,0.67,21.41,2.3,11.2,5,Grocery,High quality product for daily use,1,498
73,L'Oréal Lip Balm,Black,L'Oréal,17.71,9.19,49.88,4.06,33.43,2,Cosmetic,Energy-efficient and silent,1,420
74,Clinique Sunscreen SPF 50,Red,Clinique,23.8,25.55,47.83,3.58,23.77,3,Cosmetic,Energy-efficient and silent,1,327
75,Reebok Exercise Bike,Pink,Reebok,32.35,1.35,31.21,4.58,695.98,5,Sports,Stylish and affordable,1,191
76,The North Face Sleeping Bag,Blue,The North Face,20.74,20.24,14.94,2.32,105.81,3,Outdoor,Easy to clean and maintain,1,176
77,HarperCollins Mystery Novel,Green,HarperCollins,0.97,11.49,28.82,2.87,23.1,5,Books,High quality product for daily use,1,79
78,Lego Action Figure,Silver,Lego,21.74,2.35,13.09,2.91,486.38,5,Toys,High speed and efficiency,1,115
79,Herman Miller Dining Table,Pink,Herman Miller,23.75,9.9,3.24,2.62,546.17,5,Furniture,Made from premium materials,1,61
80,The North Face Hiking Backpack,White,The North Face,27.87,14.08,26.99,2.64,355.47,1,Outdoor,Best in class performance,1,392
81,Whole Foods Whole Grain Bread,Black,Whole Foods,8.64,0.12,40.45,4.51,8.33,5,Grocery,Long-lasting battery life,1,114
82,KitchenAid Electric Kettle,Silver,KitchenAid,47.6,8.2,22.18,1.8,57.56,2,Appliances,High quality product for daily use,1,465
83,Columbia Cycling Helmet,White,Columbia,42.99,41.65,37.3,3.62,140.09,2,Outdoor,Advanced technology integration,1,83
84,Simon & Schuster Biography,Blue,Simon & Schuster,29.92,5.6,15.61,2.54,20.5,3,Books,Made from premium materials,1,141
85,Columbia Camping Stove,White,Columbia,10.09,30.55,10.86,1.95,110.14,3,Outdoor,Easy to clean and maintain,1,483
86,Adidas Treadmill,Black,Adidas,27.59,42.84,40.83,3.82,89.15,1,Sports,Advanced technology integration,1,305
87,Samsung Smartwatch,Black,Samsung,3.11,19.72,45.45,3.59,604.35,1,Electronics,Compact and lightweight design,1,452
88,KitchenAid Blender,Green,KitchenAid,29.57,38.87,26.72,1.52,269.27,2,Appliances,Includes warranty and customer support,1,85
89,Nivea lipstick,Black,Nivea,20.43,39.48,26.86,0.22,33.06,4,Cosmetic,Provides excellent comfort and support,1,66
90,La-Z-Boy Bookshelf,White,La-Z-Boy,0.9,21.09,22.38,2.3,249.22,5,Furniture,High quality product for daily use,1,439
91,La-Z-Boy Desk Chair,Green,La-Z-Boy,35.57,30.69,10.49,0.75,957.65,1,Furniture,Eco-friendly and durable,1,217
92,Bridgestone Car Battery,Red,Bridgestone,32.36,33.73,1.16,2.96,804.62,4,Automotive,Includes warranty and customer support,1,456
93,Whole Foods Organic Avocado,Gray,Whole Foods,35.27,33.11,38.63,2.29,8.07,1,Grocery,Provides excellent comfort and support,1,183
94,L'Oréal Sunscreen SPF 50,Gray,L'Oréal,1.42,27.28,42.6,4.13,39.14,2,Cosmetic,Water-resistant and reliable,1,31
95,Herman Miller Desk Chair,White,Herman Miller,8.37,26.44,1.91,3.74,559.72,3,Furniture,Designed for maximum comfort,1,35
96,L'Oréal Foundation,Pink,L'Oréal,12.56,47.32,43.28,3.65,15.07,3,Cosmetic,Perfect gift for friends and family,1,191
97,Penguin Random House Mystery Novel,Pink,Penguin Random House,32.75,3.24,46.18,1.27,67.61,4,Books,Ideal for home and office use,1,192
98,GE Appliances Microwave Oven,Pink,GE Appliances,43.59,29.84,25.05,3.8,186.17,5,Appliances,Ideal for home and office use,1,77
99,Simon & Schuster Mystery Novel,Gray,Simon & Schuster,14.58,8.48,44.43,1.05,17.25,1,Books,Compact and lightweight design,1,52
100,Fisher-Price Dollhouse,Gray,Fisher-Price,40.01,36.24,29.45,4.9,62.83,4,Toys,Advanced technology integration,1,166
